staff_id,weekday,yesterday,before_yesterday,three_days_ago,is_leave
147,5,1,1,1,0
152,5,1,1,1,0
157,5,1,1,1,0
162,5,1,1,1,0
167,5,1,1,1,0
172,5,1,1,1,0
177,5,1,1,1,0
182,5,1,1,1,0
187,5,1,1,1,0
192,5,1,1,1,0
197,5,1,1,1,0
203,5,1,1,1,0
208,5,1,1,1,0
213,5,1,1,1,0
218,5,1,1,1,0
223,5,1,1,1,0
228,5,1,1,1,0
233,5,1,1,1,0
238,5,1,1,1,0
248,5,1,1,1,0
253,5,1,1,1,0
258,5,1,1,1,0
263,5,1,1,1,0
312,5,1,1,1,0
327,5,1,1,1,0
332,5,1,1,1,0
337,5,1,1,1,0
363,5,1,1,1,0
368,5,1,1,1,0
373,5,1,1,1,0
382,5,1,1,1,0
383,5,1,1,1,0
384,5,1,1,1,0
390,5,1,1,1,0
107,1,1,1,0,1
58,6,0,1,1,0
88,6,0,1,1,0
93,6,0,1,1,0
98,6,0,1,1,0
107,6,0,1,1,0
112,6,0,1,1,0
118,6,0,1,1,0
127,6,0,1,1,0
132,6,0,1,1,0
137,6,0,1,1,0
142,6,0,1,1,0
147,6,0,1,1,0
152,6,0,1,1,0
157,6,0,1,1,0
162,6,0,1,1,0
167,6,0,1,1,0
172,6,0,1,1,0
177,6,0,1,1,0
182,6,0,1,1,0
187,6,0,1,1,0
192,6,0,1,1,0
197,6,0,1,1,0
203,6,0,1,1,0
208,6,0,1,1,0
213,6,0,1,1,0
218,6,0,1,1,0
223,6,0,1,1,0
228,6,0,1,1,0
233,6,0,1,1,0
238,6,0,1,1,0
248,6,0,1,1,0
253,6,0,1,1,0
258,6,0,1,1,0
263,6,0,1,1,0
312,6,0,1,1,0
327,6,0,1,1,0
337,6,0,1,1,0
363,6,0,1,1,0
368,6,0,1,1,0
373,6,0,1,1,0
382,6,0,1,1,0
383,6,0,1,1,0
384,6,0,1,1,0
390,6,0,1,1,0
88,0,1,0,1,1
332,6,0,1,1,1
332,0,1,0,1,1
368,0,1,0,1,1
368,0,1,0,1,1
337,0,1,0,1,0
107,0,1,0,1,1
58,0,1,0,1,0
162,0,1,0,1,1
137,0,1,0,1,1
228,0,1,0,1,1
58,4,1,1,1,0
88,4,1,1,1,0
93,4,1,1,1,0
98,4,1,1,1,0
112,4,1,1,1,0
118,4,1,1,1,0
127,4,1,1,1,0
132,4,1,1,1,0
142,4,1,1,1,0
147,4,1,1,1,0
152,4,1,1,1,0
157,4,1,1,1,0
162,4,1,1,1,0
167,4,1,1,1,0
172,4,1,1,1,0
177,4,1,1,1,0
182,4,1,1,1,0
187,4,1,1,1,0
192,4,1,1,1,0
197,4,1,1,1,0
203,4,1,1,1,0
208,4,1,1,1,0
213,4,1,1,1,0
218,4,1,1,1,0
223,4,1,1,1,0
228,4,1,1,1,0
238,4,1,1,1,0
248,4,1,1,1,0
253,4,1,1,1,0
258,4,1,1,1,0
263,4,1,1,1,0
312,4,1,1,1,0
327,4,1,1,1,0
332,4,1,1,1,0
363,4,1,1,1,0
373,4,1,1,1,0
382,4,1,1,1,0
383,4,1,1,1,0
384,4,1,1,1,0
390,4,1,1,1,0
363,1,1,1,0,1
223,4,1,1,1,1
390,1,1,1,0,1
368,1,1,1,0,1
368,1,1,1,0,1
58,0,1,0,1,0
93,0,1,0,1,0
98,0,1,0,1,0
112,0,1,0,1,0
118,0,1,0,1,0
127,0,1,0,1,0
132,0,1,0,1,0
142,0,1,0,1,0
152,0,1,0,1,0
157,0,1,0,1,0
167,0,1,0,1,0
172,0,1,0,1,0
177,0,1,0,1,0
182,0,1,0,1,0
187,0,1,0,1,0
192,0,1,0,1,0
197,0,1,0,1,0
203,0,1,0,1,0
208,0,1,0,1,0
213,0,1,0,1,0
218,0,1,0,1,0
223,0,1,0,1,0
233,0,1,0,1,0
238,0,1,0,1,0
248,0,1,0,1,0
253,0,1,0,1,0
258,0,1,0,1,0
263,0,1,0,1,0
312,0,1,0,1,0
327,0,1,0,1,0
337,0,1,0,1,0
363,0,1,0,1,0
373,0,1,0,1,0
382,0,1,0,1,0
383,0,1,0,1,0
384,0,1,0,1,0
390,0,1,0,1,0
391,0,1,0,1,0
253,1,1,1,0,1
238,1,1,1,0,1
93,1,1,1,0,1
107,1,1,1,0,1
363,1,1,1,0,1
218,1,1,1,0,1
162,1,1,1,0,1
132,1,1,1,0,1
312,1,1,1,0,1
107,1,1,1,0,1
312,1,1,1,0,1
112,1,1,1,0,1
383,1,1,1,0,1
238,1,1,1,0,1
337,1,1,1,0,1
58,1,1,1,0,0
88,1,1,1,0,0
98,1,1,1,0,0
118,1,1,1,0,0
127,1,1,1,0,0
137,1,1,1,0,0
142,1,1,1,0,0
152,1,1,1,0,0
157,1,1,1,0,0
167,1,1,1,0,0
172,1,1,1,0,0
177,1,1,1,0,0
182,1,1,1,0,0
187,1,1,1,0,0
192,1,1,1,0,0
197,1,1,1,0,0
203,1,1,1,0,0
208,1,1,1,0,0
213,1,1,1,0,0
223,1,1,1,0,0
228,1,1,1,0,0
233,1,1,1,0,0
248,1,1,1,0,0
258,1,1,1,0,0
263,1,1,1,0,0
327,1,1,1,0,0
332,1,1,1,0,0
373,1,1,1,0,0
382,1,1,1,0,0
384,1,1,1,0,0
391,1,1,1,0,0
137,2,1,1,1,1
107,2,1,1,1,1
332,2,1,1,1,1
332,0,1,0,1,1
263,2,1,1,1,1
107,2,1,1,1,1
112,2,1,1,1,1
332,3,1,1,1,1
223,3,1,1,1,1
192,3,1,1,1,1
58,2,1,1,1,0
88,2,1,1,1,0
93,2,1,1,1,0
98,2,1,1,1,0
118,2,1,1,1,0
127,2,1,1,1,0
132,2,1,1,1,0
142,2,1,1,1,0
152,2,1,1,1,0
157,2,1,1,1,0
162,2,1,1,1,0
167,2,1,1,1,0
172,2,1,1,1,0
177,2,1,1,1,0
182,2,1,1,1,0
187,2,1,1,1,0
192,2,1,1,1,0
197,2,1,1,1,0
203,2,1,1,1,0
208,2,1,1,1,0
213,2,1,1,1,0
218,2,1,1,1,0
223,2,1,1,1,0
228,2,1,1,1,0
233,2,1,1,1,0
238,2,1,1,1,0
248,2,1,1,1,0
253,2,1,1,1,0
258,2,1,1,1,0
312,2,1,1,1,0
327,2,1,1,1,0
337,2,1,1,1,0
363,2,1,1,1,0
368,2,1,1,1,0
373,2,1,1,1,0
382,2,1,1,1,0
383,2,1,1,1,0
384,2,1,1,1,0
390,2,1,1,1,0
391,2,1,1,1,0
162,3,1,1,1,1
93,3,1,1,1,1
88,3,1,1,1,1
137,3,1,1,1,1
263,3,1,1,1,1
393,3,1,1,1,0
393,3,1,1,1,0
88,3,1,1,1,1
107,3,1,1,1,1
332,3,1,1,1,1
368,4,0,0,0,1
58,3,1,1,1,0
98,3,1,1,1,0
112,3,1,1,1,0
118,3,1,1,1,0
127,3,1,1,1,0
132,3,1,1,1,0
142,3,1,1,1,0
152,3,1,1,1,0
157,3,1,1,1,0
167,3,1,1,1,0
172,3,1,1,1,0
177,3,1,1,1,0
182,3,1,1,1,0
187,3,1,1,1,0
197,3,1,1,1,0
203,3,1,1,1,0
208,3,1,1,1,0
213,3,1,1,1,0
218,3,1,1,1,0
228,3,1,1,1,0
233,3,1,1,1,0
238,3,1,1,1,0
248,3,1,1,1,0
253,3,1,1,1,0
258,3,1,1,1,0
312,3,1,1,1,0
327,3,1,1,1,0
337,3,1,1,1,0
363,3,1,1,1,0
368,3,1,1,1,0
373,3,1,1,1,0
382,3,1,1,1,0
383,3,1,1,1,0
384,3,1,1,1,0
390,3,1,1,1,0
391,3,1,1,1,0
392,3,1,1,1,0
393,3,1,1,1,0
387,4,1,1,1,1
107,4,1,1,1,1
263,4,1,1,1,1
228,4,1,1,1,1
392,4,1,1,1,1
337,4,1,1,1,1
332,4,1,1,1,1
58,4,1,1,1,0
88,4,1,1,1,0
93,4,1,1,1,0
98,4,1,1,1,0
112,4,1,1,1,0
118,4,1,1,1,0
127,4,1,1,1,0
132,4,1,1,1,0
137,4,1,1,1,0
142,4,1,1,1,0
152,4,1,1,1,0
157,4,1,1,1,0
162,4,1,1,1,0
167,4,1,1,1,0
172,4,1,1,1,0
177,4,1,1,1,0
182,4,1,1,1,0
187,4,1,1,1,0
192,4,1,1,1,0
197,4,1,1,1,0
203,4,1,1,1,0
208,4,1,1,1,0
213,4,1,1,1,0
218,4,1,1,1,0
233,4,1,1,1,0
238,4,1,1,1,0
248,4,1,1,1,0
253,4,1,1,1,0
258,4,1,1,1,0
312,4,1,1,1,0
327,4,1,1,1,0
363,4,1,1,1,0
368,4,1,1,1,0
373,4,1,1,1,0
382,4,1,1,1,0
383,4,1,1,1,0
384,4,1,1,1,0
390,4,1,1,1,0
391,4,1,1,1,0
393,4,1,1,1,0
387,0,0,0,1,1
93,0,0,0,1,1
332,0,0,0,1,1
223,0,0,0,1,1
368,0,0,0,1,1
182,0,0,0,1,1
391,1,1,0,0,1
137,0,0,0,1,1
197,0,0,0,1,1
223,0,0,0,1,1
93,4,1,1,1,1
248,4,1,1,1,1
368,0,0,0,1,1
197,1,1,0,0,1
58,0,0,0,1,0
88,0,0,0,1,0
98,0,0,0,1,0
112,0,0,0,1,0
118,0,0,0,1,0
127,0,0,0,1,0
132,0,0,0,1,0
142,0,0,0,1,0
152,0,0,0,1,0
157,0,0,0,1,0
162,0,0,0,1,0
167,0,0,0,1,0
172,0,0,0,1,0
177,0,0,0,1,0
187,0,0,0,1,0
192,0,0,0,1,0
203,0,0,0,1,0
208,0,0,0,1,0
213,0,0,0,1,0
218,0,0,0,1,0
228,0,0,0,1,0
233,0,0,0,1,0
238,0,0,0,1,0
248,0,0,0,1,0
253,0,0,0,1,0
258,0,0,0,1,0
263,0,0,0,1,0
312,0,0,0,1,0
327,0,0,0,1,0
337,0,0,0,1,0
363,0,0,0,1,0
373,0,0,0,1,0
382,0,0,0,1,0
383,0,0,0,1,0
384,0,0,0,1,0
390,0,0,0,1,0
391,0,0,0,1,0
392,0,0,0,1,0
393,0,0,0,1,0
107,1,1,0,0,1
213,1,1,0,0,1
137,1,1,0,0,1
162,1,1,0,0,1
263,1,1,0,0,1
253,1,1,0,0,1
368,1,1,0,0,1
107,2,1,1,0,1
88,2,1,1,0,1
152,2,1,1,0,1
58,1,1,0,0,0
88,1,1,0,0,0
93,1,1,0,0,0
98,1,1,0,0,0
112,1,1,0,0,0
118,1,1,0,0,0
127,1,1,0,0,0
132,1,1,0,0,0
142,1,1,0,0,0
152,1,1,0,0,0
157,1,1,0,0,0
167,1,1,0,0,0
172,1,1,0,0,0
177,1,1,0,0,0
182,1,1,0,0,0
187,1,1,0,0,0
192,1,1,0,0,0
203,1,1,0,0,0
208,1,1,0,0,0
218,1,1,0,0,0
223,1,1,0,0,0
228,1,1,0,0,0
233,1,1,0,0,0
238,1,1,0,0,0
248,1,1,0,0,0
258,1,1,0,0,0
312,1,1,0,0,0
327,1,1,0,0,0
332,1,1,0,0,0
337,1,1,0,0,0
363,1,1,0,0,0
373,1,1,0,0,0
382,1,1,0,0,0
383,1,1,0,0,0
384,1,1,0,0,0
390,1,1,0,0,0
392,1,1,0,0,0
393,1,1,0,0,0
88,2,1,1,0,1
107,2,1,1,0,1
192,2,1,1,0,1
368,2,1,1,0,1
393,2,1,1,0,1
162,2,1,1,0,1
107,2,1,1,0,1
142,2,1,1,0,1
58,2,1,1,0,0
93,2,1,1,0,0
98,2,1,1,0,0
112,2,1,1,0,0
118,2,1,1,0,0
127,2,1,1,0,0
132,2,1,1,0,0
137,2,1,1,0,0
157,2,1,1,0,0
167,2,1,1,0,0
172,2,1,1,0,0
177,2,1,1,0,0
182,2,1,1,0,0
187,2,1,1,0,0
197,2,1,1,0,0
203,2,1,1,0,0
208,2,1,1,0,0
213,2,1,1,0,0
218,2,1,1,0,0
223,2,1,1,0,0
228,2,1,1,0,0
233,2,1,1,0,0
238,2,1,1,0,0
248,2,1,1,0,0
253,2,1,1,0,0
258,2,1,1,0,0
263,2,1,1,0,0
312,2,1,1,0,0
327,2,1,1,0,0
332,2,1,1,0,0
337,2,1,1,0,0
363,2,1,1,0,0
373,2,1,1,0,0
382,2,1,1,0,0
383,2,1,1,0,0
384,2,1,1,0,0
390,2,1,1,0,0
391,2,1,1,0,0
392,2,1,1,0,0
162,3,1,1,1,1
332,3,1,1,1,1
107,3,1,1,1,1
132,3,1,1,1,1
88,3,1,1,1,1
137,3,1,1,1,1
368,3,1,1,1,1
263,3,1,1,1,1
337,4,1,1,1,1
58,3,1,1,1,0
93,3,1,1,1,0
98,3,1,1,1,0
112,3,1,1,1,0
118,3,1,1,1,0
127,3,1,1,1,0
142,3,1,1,1,0
152,3,1,1,1,0
157,3,1,1,1,0
167,3,1,1,1,0
172,3,1,1,1,0
177,3,1,1,1,0
182,3,1,1,1,0
187,3,1,1,1,0
192,3,1,1,1,0
197,3,1,1,1,0
203,3,1,1,1,0
208,3,1,1,1,0
213,3,1,1,1,0
218,3,1,1,1,0
223,3,1,1,1,0
228,3,1,1,1,0
233,3,1,1,1,0
238,3,1,1,1,0
248,3,1,1,1,0
253,3,1,1,1,0
258,3,1,1,1,0
312,3,1,1,1,0
327,3,1,1,1,0
337,3,1,1,1,0
363,3,1,1,1,0
373,3,1,1,1,0
382,3,1,1,1,0
383,3,1,1,1,0
384,3,1,1,1,0
390,3,1,1,1,0
391,3,1,1,1,0
392,3,1,1,1,0
393,3,1,1,1,0
394,3,1,1,1,0
391,4,1,1,1,1
392,4,1,1,1,1
88,4,1,1,1,1
393,4,1,1,1,1
142,4,1,1,1,1
223,4,1,1,1,1
107,4,1,1,1,1
368,4,1,1,1,1
192,4,1,1,1,1
383,4,1,1,1,1
238,4,1,1,1,1
167,4,1,1,1,1
162,4,1,1,1,1
187,1,0,0,0,1
112,4,1,1,1,1
112,1,0,0,0,1
58,4,1,1,1,0
98,4,1,1,1,0
118,4,1,1,1,0
127,4,1,1,1,0
132,4,1,1,1,0
137,4,1,1,1,0
152,4,1,1,1,0
157,4,1,1,1,0
172,4,1,1,1,0
177,4,1,1,1,0
182,4,1,1,1,0
187,4,1,1,1,0
197,4,1,1,1,0
203,4,1,1,1,0
208,4,1,1,1,0
213,4,1,1,1,0
218,4,1,1,1,0
228,4,1,1,1,0
233,4,1,1,1,0
253,4,1,1,1,0
258,4,1,1,1,0
263,4,1,1,1,0
312,4,1,1,1,0
327,4,1,1,1,0
332,4,1,1,1,0
363,4,1,1,1,0
373,4,1,1,1,0
382,4,1,1,1,0
384,4,1,1,1,0
390,4,1,1,1,0
394,4,1,1,1,0
332,1,0,0,0,1
107,1,0,0,0,1
142,1,0,0,0,1
107,2,1,0,0,1
172,1,1,0,0,1
197,1,0,0,0,1
58,1,0,0,0,0
88,1,0,0,0,0
93,1,0,0,0,0
98,1,0,0,0,0
118,1,0,0,0,0
127,1,0,0,0,0
132,1,0,0,0,0
137,1,0,0,0,0
152,1,0,0,0,0
157,1,0,0,0,0
162,1,0,0,0,0
167,1,0,0,0,0
172,1,0,0,0,0
177,1,0,0,0,0
182,1,0,0,0,0
192,1,0,0,0,0
203,1,0,0,0,0
208,1,0,0,0,0
213,1,0,0,0,0
218,1,0,0,0,0
223,1,0,0,0,0
228,1,0,0,0,0
233,1,0,0,0,0
238,1,0,0,0,0
248,1,0,0,0,0
253,1,0,0,0,0
258,1,0,0,0,0
263,1,0,0,0,0
312,1,0,0,0,0
327,1,0,0,0,0
337,1,0,0,0,0
363,1,0,0,0,0
368,1,0,0,0,0
373,1,0,0,0,0
382,1,0,0,0,0
383,1,0,0,0,0
384,1,0,0,0,0
390,1,0,0,0,0
391,1,0,0,0,0
392,1,0,0,0,0
393,1,0,0,0,0
394,1,0,0,0,0
58,2,1,0,0,1
162,2,1,0,0,1
107,2,1,0,0,1
223,3,1,1,1,1
223,3,1,1,0,1
197,3,1,1,0,1
88,2,1,0,0,0
93,2,1,0,0,0
98,2,1,0,0,0
112,2,1,0,0,0
118,2,1,0,0,0
127,2,1,0,0,0
132,2,1,0,0,0
137,2,1,0,0,0
142,2,1,0,0,0
152,2,1,0,0,0
157,2,1,0,0,0
167,2,1,0,0,0
172,2,1,0,0,0
177,2,1,0,0,0
182,2,1,0,0,0
187,2,1,0,0,0
192,2,1,0,0,0
197,2,1,0,0,0
203,2,1,0,0,0
208,2,1,0,0,0
213,2,1,0,0,0
218,2,1,0,0,0
223,2,1,0,0,0
228,2,1,0,0,0
233,2,1,0,0,0
238,2,1,0,0,0
248,2,1,0,0,0
253,2,1,0,0,0
258,2,1,0,0,0
263,2,1,0,0,0
312,2,1,0,0,0
327,2,1,0,0,0
332,2,1,0,0,0
337,2,1,0,0,0
363,2,1,0,0,0
368,2,1,0,0,0
373,2,1,0,0,0
382,2,1,0,0,0
383,2,1,0,0,0
384,2,1,0,0,0
390,2,1,0,0,0
391,2,1,0,0,0
392,2,1,0,0,0
393,2,1,0,0,0
394,2,1,0,0,0
368,3,1,1,0,1
332,3,1,1,0,1
383,3,1,1,0,1
363,3,1,1,0,1
107,3,1,1,0,1
137,3,1,1,0,1
162,3,1,1,0,1
238,3,1,1,0,1
107,3,1,1,0,1
142,3,1,1,0,1
88,3,1,1,0,1
88,4,1,1,1,1
58,3,1,1,0,0
93,3,1,1,0,0
98,3,1,1,0,0
112,3,1,1,0,0
118,3,1,1,0,0
127,3,1,1,0,0
132,3,1,1,0,0
152,3,1,1,0,0
157,3,1,1,0,0
167,3,1,1,0,0
172,3,1,1,0,0
177,3,1,1,0,0
182,3,1,1,0,0
187,3,1,1,0,0
192,3,1,1,0,0
203,3,1,1,0,0
208,3,1,1,0,0
213,3,1,1,0,0
218,3,1,1,0,0
228,3,1,1,0,0
233,3,1,1,0,0
248,3,1,1,0,0
253,3,1,1,0,0
258,3,1,1,0,0
263,3,1,1,0,0
312,3,1,1,0,0
327,3,1,1,0,0
337,3,1,1,0,0
373,3,1,1,0,0
382,3,1,1,0,0
384,3,1,1,0,0
390,3,1,1,0,0
391,3,1,1,0,0
392,3,1,1,0,0
393,3,1,1,0,0
394,3,1,1,0,0
132,4,1,1,1,1
393,4,1,1,1,1
107,4,1,1,1,1
238,4,1,1,1,1
392,4,1,1,1,1
383,4,1,1,1,1
263,4,1,1,1,1
137,4,1,1,1,1
368,4,1,1,1,1
142,4,1,1,1,1
58,4,1,1,1,0
93,4,1,1,1,0
98,4,1,1,1,0
112,4,1,1,1,0
118,4,1,1,1,0
127,4,1,1,1,0
152,4,1,1,1,0
157,4,1,1,1,0
162,4,1,1,1,0
167,4,1,1,1,0
172,4,1,1,1,0
177,4,1,1,1,0
182,4,1,1,1,0
187,4,1,1,1,0
192,4,1,1,1,0
197,4,1,1,1,0
203,4,1,1,1,0
208,4,1,1,1,0
213,4,1,1,1,0
218,4,1,1,1,0
223,4,1,1,1,0
228,4,1,1,1,0
233,4,1,1,1,0
248,4,1,1,1,0
253,4,1,1,1,0
258,4,1,1,1,0
312,4,1,1,1,0
327,4,1,1,1,0
332,4,1,1,1,0
337,4,1,1,1,0
363,4,1,1,1,0
373,4,1,1,1,0
382,4,1,1,1,0
384,4,1,1,1,0
390,4,1,1,1,0
391,4,1,1,1,0
394,4,1,1,1,0
213,0,0,0,1,1
107,0,0,0,1,1
177,0,0,0,1,1
162,1,1,0,0,1
192,0,0,0,1,1
393,0,0,0,1,1
187,0,0,0,1,1
132,0,0,0,1,1
137,0,0,0,1,1
391,0,0,0,1,1
238,0,0,0,1,1
332,1,1,0,0,1
58,0,0,0,1,0
88,0,0,0,1,0
93,0,0,0,1,0
98,0,0,0,1,0
112,0,0,0,1,0
118,0,0,0,1,0
127,0,0,0,1,0
142,0,0,0,1,0
152,0,0,0,1,0
157,0,0,0,1,0
162,0,0,0,1,0
167,0,0,0,1,0
172,0,0,0,1,0
182,0,0,0,1,0
197,0,0,0,1,0
203,0,0,0,1,0
208,0,0,0,1,0
218,0,0,0,1,0
223,0,0,0,1,0
228,0,0,0,1,0
233,0,0,0,1,0
248,0,0,0,1,0
253,0,0,0,1,0
258,0,0,0,1,0
263,0,0,0,1,0
312,0,0,0,1,0
327,0,0,0,1,0
332,0,0,0,1,0
337,0,0,0,1,0
363,0,0,0,1,0
368,0,0,0,1,0
373,0,0,0,1,0
382,0,0,0,1,0
383,0,0,0,1,0
384,0,0,0,1,0
390,0,0,0,1,0
392,0,0,0,1,0
394,0,0,0,1,0
