staff_id,weekday,yesterday,before_yesterday,three_days_ago,is_leave
192,6,0,1,1,0
197,6,0,1,1,0
203,6,0,1,1,0
208,6,0,1,1,0
213,6,0,1,1,0
218,6,0,1,1,0
223,6,0,1,1,0
228,6,0,1,1,0
233,6,0,1,1,0
238,6,0,1,1,0
248,6,0,1,1,0
253,6,0,1,1,0
258,6,0,1,1,0
263,6,0,1,1,0
312,6,0,1,1,0
327,6,0,1,1,0
332,6,0,1,1,0
337,6,0,1,1,0
368,6,0,1,1,0
373,6,0,1,1,0
192,0,1,0,1,1
172,0,1,0,1,1
363,0,1,0,1,1
368,0,1,0,1,1
162,0,1,0,1,1
147,0,1,0,1,1
177,1,1,1,0,1
187,4,1,1,1,1
187,0,1,0,1,1
107,0,0,0,1,1
213,1,1,1,0,1
197,1,1,1,0,1
192,1,1,1,0,1
58,0,1,0,1,0
88,0,1,0,1,0
93,0,1,0,1,0
98,0,1,0,1,0
107,0,1,0,1,0
112,0,1,0,1,0
118,0,1,0,1,0
127,0,1,0,1,0
132,0,1,0,1,0
142,0,1,0,1,0
152,0,1,0,1,0
157,0,1,0,1,0
167,0,1,0,1,0
182,0,1,0,1,0
197,0,1,0,1,0
203,0,1,0,1,0
208,0,1,0,1,0
213,0,1,0,1,0
218,0,1,0,1,0
223,0,1,0,1,0
228,0,1,0,1,0
233,0,1,0,1,0
238,0,1,0,1,0
248,0,1,0,1,0
253,0,1,0,1,0
258,0,1,0,1,0
263,0,1,0,1,0
312,0,1,0,1,0
327,0,1,0,1,0
107,1,1,1,0,1
363,1,1,1,0,1
58,1,1,1,0,0
88,1,1,1,0,0
93,1,1,1,0,0
98,1,1,1,0,0
112,1,1,1,0,0
118,1,1,1,0,0
127,1,1,1,0,0
132,1,1,1,0,0
137,1,1,1,0,0
142,1,1,1,0,0
147,1,1,1,0,0
152,1,1,1,0,0
157,1,1,1,0,0
162,1,1,1,0,0
167,1,1,1,0,0
172,1,1,1,0,0
182,1,1,1,0,0
187,1,1,1,0,0
203,1,1,1,0,0
208,1,1,1,0,0
218,1,1,1,0,0
223,1,1,1,0,0
228,1,1,1,0,0
238,1,1,1,0,0
248,1,1,1,0,0
253,1,1,1,0,0
258,1,1,1,0,0
263,1,1,1,0,0
312,1,1,1,0,0
327,1,1,1,0,0
332,1,1,1,0,0
337,1,1,1,0,0
368,1,1,1,0,0
373,1,1,1,0,0
107,2,1,1,1,1
228,2,1,1,1,1
368,2,1,1,1,1
137,2,1,1,1,1
263,2,1,1,1,1
363,2,1,1,1,1
147,2,1,1,1,1
233,1,1,1,0,1
248,2,1,1,1,1
363,2,1,1,1,1
363,2,1,1,1,1
233,2,1,1,1,1
58,2,1,1,1,0
88,2,1,1,1,0
93,2,1,1,1,0
98,2,1,1,1,0
112,2,1,1,1,0
118,2,1,1,1,0
127,2,1,1,1,0
132,2,1,1,1,0
142,2,1,1,1,0
152,2,1,1,1,0
157,2,1,1,1,0
162,2,1,1,1,0
167,2,1,1,1,0
172,2,1,1,1,0
177,2,1,1,1,0
182,2,1,1,1,0
187,2,1,1,1,0
192,2,1,1,1,0
197,2,1,1,1,0
203,2,1,1,1,0
208,2,1,1,1,0
213,2,1,1,1,0
218,2,1,1,1,0
223,2,1,1,1,0
238,2,1,1,1,0
253,2,1,1,1,0
258,2,1,1,1,0
312,2,1,1,1,0
327,2,1,1,1,0
332,2,1,1,1,0
337,2,1,1,1,0
373,2,1,1,1,0
382,2,1,1,1,0
383,2,1,1,1,0
384,2,1,1,1,0
385,2,1,1,1,0
386,2,1,1,1,0
387,2,1,1,1,0
